Timestamp,Ax,Ay,Az,Gx,Gy,Gz
14:48:50.352690,1.81,3.44,3.44,-62.62,145.73,50.98
14:48:50.435040,0.50,1.63,1.63,6.92,136.65,-68.48
14:48:50.541025,0.20,1.63,1.63,-16.62,133.26,-60.34
14:48:50.647100,0.26,1.58,1.58,-88.14,100.85,72.93
14:48:50.750045,0.37,1.58,1.58,-168.96,-31.43,116.16
14:48:50.856083,-0.18,1.94,1.94,-322.23,16.52,287.87
14:48:50.959088,1.19,1.66,1.66,22.56,67.84,332.44
14:48:51.061125,0.75,1.25,1.25,155.24,136.59,-1.62
14:48:51.167815,0.64,1.26,1.26,120.79,86.62,-274.54
14:48:51.270509,0.47,1.34,1.34,74.18,38.72,-481.71
14:48:51.377003,0.18,1.52,1.52,61.77,74.79,-386.59
14:48:51.478947,0.51,1.21,1.21,37.53,-13.78,72.41
14:48:51.585649,2.40,-0.22,-0.22,714.18,-999.02,600.40
14:48:51.687873,0.97,1.62,1.62,216.25,-94.15,201.52
14:48:51.790636,0.85,1.69,1.69,3.29,71.62,-47.50
14:48:51.896950,0.64,1.57,1.57,-15.30,100.12,-135.21
14:48:51.999671,0.49,1.47,1.47,27.53,160.03,-108.35
14:48:52.102209,0.04,1.60,1.60,-9.36,36.95,-13.26
14:48:52.208556,0.35,1.63,1.63,-88.57,-37.62,107.77
14:48:52.314349,0.36,1.63,1.63,-165.88,-33.78,157.29
14:48:52.420706,-0.14,1.74,1.74,-318.14,-30.98,303.54
14:48:52.523629,1.20,1.56,1.56,-42.44,-132.29,276.83
14:48:52.626368,0.85,1.16,1.16,136.95,318.69,-76.34
14:48:52.728397,0.62,1.33,1.33,188.48,82.56,-327.96
14:48:52.835518,0.51,1.48,1.48,58.20,96.22,-510.03
14:48:52.937675,0.39,1.45,1.45,47.07,13.02,-224.48
14:48:53.040494,0.44,1.01,1.01,44.33,24.51,106.89
14:48:53.146755,1.42,0.94,0.94,683.90,439.70,326.46
14:48:53.252887,1.07,1.72,1.72,148.23,-145.70,168.54
14:48:53.354877,0.87,1.57,1.57,-13.60,30.79,-15.15
14:48:53.458511,0.75,1.52,1.52,41.89,82.93,-114.42
14:48:53.564713,0.53,1.58,1.58,36.13,167.74,-116.37
14:48:53.667142,0.20,1.58,1.58,-15.49,59.88,-55.79
14:48:53.769842,0.33,1.60,1.60,-74.45,-0.52,61.34
14:48:53.875724,0.23,1.64,1.64,-167.56,35.52,118.20
14:48:53.982701,-0.30,1.71,1.71,-286.95,21.68,336.55
14:48:54.086645,1.29,1.58,1.58,-84.76,-28.11,209.39
14:48:54.187044,0.70,1.05,1.05,44.33,441.37,-125.95
14:48:54.293799,0.55,1.34,1.34,214.63,15.06,-412.29
14:48:54.400674,0.33,1.51,1.51,147.65,220.27,-437.96
14:48:54.498732,0.20,1.43,1.43,69.21,85.00,-228.32
14:48:54.604522,0.24,1.24,1.24,35.37,20.27,133.23
14:48:54.711550,1.15,0.90,0.90,-527.56,-392.47,819.66
14:48:54.814672,0.91,1.53,1.53,-42.26,-98.11,403.69
14:48:54.916411,0.95,1.77,1.77,42.50,20.61,41.52
14:48:55.022830,0.67,1.66,1.66,28.51,76.01,-135.03
14:48:55.125251,0.49,1.56,1.56,48.02,141.31,-127.35
