Timestamp,Ax,Ay,Az,Gx,Gy,Gz
14:56:55.125973,-0.82,1.46,1.46,25.85,18.72,81.59
14:56:55.212267,0.18,1.52,1.52,-280.49,439.73,302.20
14:56:55.314850,0.33,1.66,1.66,-87.07,180.30,168.93
14:56:55.420955,0.36,1.61,1.61,-83.32,80.98,140.64
14:56:55.523697,0.45,1.64,1.64,-79.60,43.17,178.08
14:56:55.630646,0.10,1.64,1.64,-198.48,68.75,298.05
14:56:55.732357,0.17,1.87,1.87,-212.01,71.37,619.88
14:56:55.839435,0.94,1.19,1.19,-55.95,921.46,340.76
14:56:55.942099,0.49,0.84,0.84,516.71,297.32,-200.95
14:56:56.047454,0.82,1.46,1.46,359.42,258.90,-744.24
14:56:56.150734,-0.18,1.60,1.60,256.62,300.40,-822.35
14:56:56.257250,-0.22,1.51,1.51,-220.76,168.02,175.82
14:56:56.359711,-0.31,1.95,1.95,-24.45,-188.99,211.19
14:56:56.461977,1.12,1.94,1.94,-235.15,581.55,390.67
14:56:56.564551,0.91,1.78,1.78,16.80,-66.49,116.98
14:56:56.670317,0.43,1.63,1.63,-32.50,16.83,124.15
14:56:56.772919,0.30,1.61,1.61,-67.59,43.45,178.63
14:56:56.879476,0.21,1.64,1.64,-121.43,72.96,255.09
14:56:56.985449,0.13,1.77,1.77,-179.24,-78.66,388.08
14:56:57.088696,-0.06,1.68,1.68,-314.85,230.70,540.30
14:56:57.190760,1.17,1.09,1.09,-8.08,62.26,91.52
14:56:57.296785,0.82,0.92,0.92,433.23,60.37,-584.02
14:56:57.399911,1.30,2.01,2.01,102.29,544.18,-999.02
14:56:57.506673,0.21,1.85,1.85,105.58,175.46,-484.63
14:56:57.608575,-1.27,1.55,1.55,-41.68,16.28,53.14
14:56:57.711633,1.99,2.03,2.03,453.17,-32.10,405.21
14:56:57.816951,0.62,1.69,1.69,229.24,-335.98,93.29
14:56:57.920535,0.08,1.50,1.50,10.95,-70.58,93.90
14:56:58.023090,0.22,1.59,1.59,-69.73,29.60,168.93
14:56:58.128753,0.21,1.66,1.66,-122.80,9.54,274.70
14:56:58.235729,0.02,1.86,1.86,-253.29,-18.78,421.55
14:56:58.337835,0.44,1.74,1.74,-91.04,-59.12,567.74
14:56:58.440008,0.96,0.94,0.94,168.11,204.94,-11.65
14:56:58.546757,0.74,0.85,0.85,500.91,218.81,-663.78
14:56:58.648402,0.13,1.77,1.77,41.55,726.40,-891.52
14:56:58.751344,0.05,1.57,1.57,14.70,481.95,9.12
14:56:58.857891,-1.11,1.35,1.35,-13.05,-304.21,2.50
14:56:58.963882,1.04,1.96,1.96,-220.79,436.04,242.16
14:56:59.066640,0.66,1.81,1.81,47.41,-82.07,120.82
14:56:59.169170,0.28,1.57,1.57,-16.68,-46.74,88.99
14:56:59.276263,0.39,1.64,1.64,-66.62,37.56,179.82
14:56:59.382196,0.16,1.59,1.59,-159.24,103.66,268.84
14:56:59.485136,-0.24,1.80,1.80,-239.18,71.80,473.38
14:56:59.587190,1.02,1.54,1.54,-122.99,718.87,462.04
14:56:59.688773,0.59,0.84,0.84,447.10,796.34,14.24
14:56:59.795858,0.81,1.39,1.39,647.71,209.85,-593.96
14:56:59.902294,0.25,1.51,1.51,282.96,512.41,-557.13
14:57:00.004549,-0.15,1.39,1.39,4.94,337.41,-153.11
14:57:00.106958,-1.07,1.47,1.47,10.91,-134.02,73.11
14:57:00.213635,0.94,1.96,1.96,-154.15,522.65,314.30
14:57:00.316364,0.68,1.75,1.75,44.02,-25.61,151.49
14:57:00.418064,0.34,1.64,1.64,-51.40,24.76,105.79
14:57:00.524985,0.27,1.59,1.59,-78.69,102.13,174.57
14:57:00.627545,0.20,1.59,1.59,-87.47,34.66,196.71
14:57:00.733702,0.16,1.82,1.82,-212.13,-55.37,377.71
14:57:00.840674,0.23,1.76,1.76,-208.14,291.74,701.34
14:57:00.942425,1.06,0.89,0.89,88.45,459.85,218.75
14:57:01.049624,0.58,0.89,0.89,499.42,223.26,-481.89
14:57:01.151889,0.95,1.61,1.61,232.44,484.05,-913.72
14:57:01.258051,-0.07,1.81,1.81,-226.40,544.60,-393.84
14:57:01.360850,-1.52,1.33,1.33,100.37,-383.57,-1.43
14:57:01.462808,1.31,2.07,2.07,-131.55,561.80,310.40
14:57:01.564901,0.83,1.83,1.83,43.02,-169.15,107.62
14:57:01.668198,0.27,1.63,1.63,-6.59,-93.84,99.12
14:57:01.773541,0.26,1.61,1.61,-87.84,30.37,215.67
14:57:01.880850,0.20,1.66,1.66,-160.12,-0.43,324.27
14:57:01.988028,-0.00,1.88,1.88,-251.74,-47.56,449.42
14:57:02.089842,0.74,1.56,1.56,-141.28,488.87,521.80
14:57:02.191930,0.70,0.92,0.92,306.13,103.05,-202.53
14:57:02.299075,0.87,1.07,1.07,431.07,158.93,-753.93
14:57:02.401745,0.13,1.64,1.64,313.84,292.59,-920.70
14:57:02.503668,-0.09,1.70,1.70,76.77,188.99,29.85
14:57:02.609669,-1.18,1.51,1.51,-86.16,-56.77,-28.41
14:57:02.716175,1.18,1.90,1.90,-140.88,235.21,266.34
14:57:02.818901,0.64,1.81,1.81,26.52,-101.62,142.71
14:57:02.921503,0.33,1.62,1.62,-27.93,-85.91,107.10
14:57:03.023657,0.29,1.62,1.62,-87.77,4.85,194.21
14:57:03.130433,0.34,1.65,1.65,-96.62,-30.70,264.12
14:57:03.236586,0.27,1.80,1.80,-215.79,-21.31,382.74
14:57:03.339864,0.25,1.72,1.72,-304.39,448.14,572.20
14:57:03.441862,1.23,1.05,1.05,52.84,98.54,-11.59
14:57:03.548522,0.91,1.03,1.03,545.15,170.91,-607.16
14:57:03.650478,0.53,1.64,1.64,254.21,500.15,-822.71
14:57:03.757515,-0.12,1.66,1.66,129.88,40.30,-452.77
14:57:03.858900,0.27,1.49,1.49,-126.31,47.87,407.20
14:57:03.962280,0.32,1.42,1.42,48.51,-621.13,240.30
14:57:04.068804,-0.02,1.61,1.61,-84.54,172.13,211.89
14:57:04.171405,0.25,1.65,1.65,-62.13,246.46,178.60
14:57:04.276676,0.25,1.62,1.62,-60.40,125.91,162.29
14:57:04.380211,0.44,1.66,1.66,-67.29,42.80,194.05
14:57:04.486335,0.34,1.66,1.66,-142.87,22.71,298.84
14:57:04.588704,0.10,2.06,2.06,-143.11,47.93,476.10
14:57:04.695002,1.13,1.19,1.19,-112.41,674.24,513.57
14:57:04.797434,0.63,0.73,0.73,418.84,609.60,-23.60
14:57:04.900374,0.57,1.15,1.15,762.50,-5.12,-724.05
14:57:05.005826,-0.30,1.29,1.29,92.62,998.99,-497.07
14:57:05.113160,-0.39,1.42,1.42,310.58,-213.72,-62.35
14:57:05.215269,-0.68,2.02,2.02,89.36,212.07,161.19
14:57:05.317851,0.99,1.75,1.75,-5.40,246.89,307.07
14:57:05.420407,0.50,1.70,1.70,41.77,-76.16,113.57
14:57:05.526357,0.30,1.64,1.64,-21.19,51.49,119.42
14:57:05.629627,0.35,1.60,1.60,-55.85,36.71,156.77
14:57:05.734943,0.31,1.60,1.60,-81.07,104.39,196.74
14:57:05.837392,0.39,1.68,1.68,-172.35,81.68,303.69
14:57:05.944381,-0.01,1.97,1.97,-109.42,140.37,482.32
14:57:06.046367,1.06,1.31,1.31,-41.74,998.99,484.45
14:57:06.152998,0.37,0.74,0.74,455.27,520.79,-170.76
14:57:06.255759,0.77,1.31,1.31,495.91,181.19,-718.29
14:57:06.362246,0.11,1.61,1.61,316.80,380.98,-842.99
14:57:06.464658,0.03,1.59,1.59,-23.20,-169.21,-75.55
14:57:06.572517,-0.40,2.45,2.45,135.27,-204.94,316.86
14:57:06.673464,0.61,1.85,1.85,-258.26,691.52,353.17
14:57:06.775933,0.60,1.75,1.75,-70.95,189.05,172.74
14:57:06.878434,0.34,1.63,1.63,-48.32,55.76,121.25
14:57:06.984834,0.24,1.59,1.59,-77.20,14.12,179.48
14:57:07.087292,0.17,1.59,1.59,-129.05,3.29,239.42
14:57:07.194307,0.12,1.92,1.92,-210.98,-67.53,401.89
14:57:07.299632,0.27,1.65,1.65,-249.24,228.48,613.75
14:57:07.398934,0.90,0.96,0.96,45.67,122.10,83.35
14:57:07.508439,0.81,0.87,0.87,410.52,268.51,-519.18
14:57:07.611546,0.60,1.56,1.56,233.57,360.58,-965.76
14:57:07.717256,0.20,1.49,1.49,-116.10,241.59,-631.31
14:57:07.820245,0.57,1.51,1.51,41.19,-214.70,339.91
14:57:07.922897,1.34,1.36,1.36,7.80,-660.85,249.73
14:57:08.029465,-0.08,1.47,1.47,38.20,-163.26,150.21
14:57:08.131214,0.17,1.53,1.53,-83.93,52.62,164.36
14:57:08.233640,0.28,1.58,1.58,-69.15,37.10,172.56
14:57:08.341212,0.43,1.67,1.67,-86.31,-11.10,182.29
14:57:08.443159,0.31,1.76,1.76,-155.98,-49.39,307.26
14:57:08.549192,0.10,2.00,2.00,-182.16,98.63,482.84
14:57:08.651398,0.98,1.41,1.41,-71.43,609.21,348.69
14:57:08.759214,0.58,0.88,0.88,395.55,269.48,-270.95
14:57:08.861049,0.77,1.32,1.32,573.17,-91.98,-838.78
14:57:08.967384,0.03,1.78,1.78,373.48,429.42,-731.59
14:57:09.069549,-0.16,1.46,1.46,23.69,-33.20,28.26
14:57:09.172476,-0.18,2.35,2.35,53.93,-368.32,272.44
14:57:09.278005,0.40,1.67,1.67,-200.00,377.53,334.91
14:57:09.381067,0.45,1.67,1.67,-76.52,173.78,180.91
14:57:09.487902,0.41,1.63,1.63,-81.92,142.53,169.45
14:57:09.589436,0.40,1.66,1.66,-60.82,53.48,174.39
14:57:09.692464,0.23,1.64,1.64,-119.02,14.94,243.41
14:57:09.798947,0.10,1.76,1.76,-213.54,21.68,445.79
14:57:09.905118,0.61,1.52,1.52,-142.26,492.96,518.23
14:57:10.007137,0.94,0.89,0.89,256.49,469.85,173.78
14:57:10.110193,0.53,1.05,1.05,656.95,388.11,-476.77
14:57:10.216900,0.63,1.42,1.42,333.48,810.03,-632.07
14:57:10.323784,-0.36,1.49,1.49,-204.63,371.16,-384.70
14:57:10.425252,0.17,1.57,1.57,-62.04,402.35,278.87
14:57:10.527992,1.26,1.67,1.67,177.26,-178.26,228.87
14:57:10.635140,0.22,1.61,1.61,101.37,-147.47,120.73
